,515rcbc156,515rcbc157,515rcbc159,515rcbc160,515rcbc161,515rcbc168,515rcbc169,515rcbc170,515rcbc174,515rcbc175,515rcbc176,515rcbc177,515rcbc178,515rcbc179,515rcbc180,515rcbc181,515rcbc184,515rcbc185,515rcbc186,515rcbc187,515rcbc188,515rcbc189,515rcbc190,515rcbc191,515rcbc192,515rcbc193,515rcbc194
776288k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1847k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405006k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505587k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia; s__,10.213104219641906,10.127994320976393,4.754887502163468,6.614709844115208,5.523561956057013,10.156083076288681,9.06339508128851,8.214319120800766,11.410981267043796,8.900866807980748,10.025139562278508,8.791162888555018,5.044394119358453,9.092757140919852,4.321928094887363,9.002815015607053,9.219168520462162,5.614709844115208,3.807354922057604,9.527477006060396,9.310612781659529,8.049848549450562,8.721099188707186,8.066089190457772,8.103287808412022,6.3750394313469245,8.071462362556623
2209903k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,5.426264754702098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.807354922057604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697990k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,5.754887502163468,0.0,5.882643049361842,0.0,0.0,0.0,0.0,0.0,0.0,4.392317422778761,3.807354922057604,4.0,0.0,8.76487159073609,5.930737337562887,0.0,6.569855608330948,0.0,0.0,2.0,7.087462841250339,6.442943495848728,4.906890595608519,0.0,1.0,0.0,2.321928094887362
853114k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165827k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__,6.392317422778761,7.392317422778761,2.584962500721156,0.0,0.0,7.839203788096944,7.98299357469431,1.0,5.554588851677638,3.584962500721156,7.348728154231077,0.0,3.321928094887362,0.0,3.807354922057604,3.321928094887362,9.002815015607053,0.0,0.0,7.912889336229962,0.0,0.0,0.0,7.294620748891627,3.700439718141092,0.0,0.0
4336079k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4373910k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__oralis,6.672425341971495,4.954196310386875,2.584962500721156,3.0,3.4594316186372973,4.584962500721156,4.321928094887363,3.321928094887362,4.0,5.554588851677638,4.906890595608519,1.584962500721156,0.0,3.0,0.0,1.584962500721156,3.321928094887362,1.0,2.321928094887362,5.392317422778761,2.807354922057604,4.392317422778761,6.044394119358453,3.700439718141092,3.0,3.9068905956085187,3.0
